location_id,latitude,longitude,dist_road_m,dist_hospital_m,dist_school_m,dist_police_m,dist_market_m,flood_risk,land_use_class,dist_landuse_commercial_m,population_density,elevation_m
0,18.8939564,72.776333,3056.4436427635524,6089.817763161723,188107.1796058102,189143.4806464466,189032.8985993914,0.0,forest,3537.854911753262,,
1,18.8989564,72.776333,2959.5376947249615,5569.615010930461,187555.97555369916,188591.95375932413,188481.42534877104,0.0,forest,3403.4685125702795,,
2,18.9039564,72.776333,2879.412937686332,5056.510336218617,187004.7852654156,188040.43867595211,187929.96422194902,0.0,forest,3355.940510384966,,
3,18.908956399999997,72.776333,2899.102096121769,4552.904296427711,186453.6088654206,187488.93550287813,187378.51532835126,0.0,forest,3390.0535997929474,,
4,18.913956399999996,72.776333,2996.1172933395537,4062.331170609434,185902.44647965132,186937.44434790773,186827.07877869633,0.0,residential,3512.142990586097,,
5,18.918956399999995,72.776333,2904.7191963028486,3590.1377014908476,185351.29823553996,186385.96532012045,186275.65468501154,0.0,forest,3713.595052447145,,
6,18.923956399999994,72.776333,2494.7486680346306,3144.614598664106,184800.16426203543,185834.49852988802,185724.24316065217,0.0,forest,3982.3841860952602,,
7,18.928956399999993,72.776333,2150.141455074699,2738.8085419022673,184249.04468962844,185283.04408889601,185172.8443203231,0.0,forest,4305.918726285232,,
8,18.933956399999992,72.776333,1906.6742260542335,2393.0113654593683,183697.93965037068,184731.60211015935,184621.4582800954,0.0,forest,4539.0580355627535,,
9,18.93895639999999,72.776333,1797.2034489339399,2136.561580397804,183146.84927790423,184180.17270804854,184070.0851574328,0.0,forest,4235.239708951262,,
10,18.94395639999999,72.776333,1728.1139931463204,2004.058162563232,182595.77370747927,183628.75599830342,183518.72507120602,0.0,residential,3985.5260641228024,,
11,18.94895639999999,72.776333,1672.2942950340585,2020.0409665891605,182044.71307598075,183077.35209805638,182967.37814171665,0.0,residential,3800.596875750649,,
12,18.95395639999999,72.776333,1750.6498774322292,2181.2486024196764,181493.66752195352,182525.96112585344,182416.04449071886,0.0,park,3690.2048886512757,,
13,18.958956399999987,72.776333,1938.0986717959331,2459.286463838723,180942.63718562745,181974.58320167597,181864.72424144152,0.0,park,3661.098939977851,,
14,18.963956399999987,72.776333,2220.2509907963636,2819.804915177452,180391.62220894377,181423.21844696274,181313.41751861107,0.0,park,3715.1901044501606,,
15,18.968956399999986,72.776333,2519.0341116139534,3109.914235696529,179840.62273557778,180871.8669846289,180762.12444847092,0.0,residential,3848.9724899227667,,
16,18.973956399999985,72.776333,2644.189516844273,3243.325257037658,179289.6389109686,180320.5289390916,180210.84515880793,0.0,park,4054.5655146728564,,
17,18.978956399999984,72.776333,2776.098108447612,3461.17235623676,178738.67088234637,179769.20443629302,179659.57977897584,0.0,park,4016.702771778838,,
18,18.983956399999983,72.776333,2981.1523848437587,3748.764268426448,178187.71879875966,179217.8936037237,179108.32843991948,0.0,park,3882.855750874294,,
19,18.98895639999998,72.776333,3223.6068212897385,4016.602429473359,177636.78281109757,178666.59657044034,178557.09127419296,0.0,park,3819.2196287453457,,
20,18.99395639999998,72.776333,3497.9670071602445,4208.396319939534,177085.86307212984,178115.3134671014,178005.86841599623,0.0,residential,3835.266624047349,,
21,18.99895639999998,72.776333,3690.0674729451357,4221.419739678381,176534.95973652537,177564.04442598144,177454.66000118997,0.0,industrial,3930.0208923621167,,
22,19.00395639999998,72.776333,3705.156080089177,4209.376650361615,175984.07296088786,177012.78958100194,176903.4661673271,0.0,industrial,4098.026586171223,,
23,19.008956399999978,72.776333,3784.7453747290833,4269.693351117212,175433.20290378405,176461.5490677553,176352.28705367746,0.0,industrial,4319.6676411162125,,
24,19.013956399999977,72.776333,3941.2407506132636,4399.394744806942,174882.3497257719,175910.32302352786,175801.1228012518,0.0,industrial,4591.955129478108,,
25,19.018956399999976,72.776333,4087.191345722501,4588.697805886023,174331.51358943825,175359.11158733323,175249.9735528355,0.0,park,4910.1638932937385,,
26,19.023956399999975,72.776333,4020.2081550322905,4782.297938943385,173780.6946594259,174807.91489993408,174698.83945301137,0.0,park,5163.484313747377,,
27,19.028956399999974,72.776333,4028.893072655899,5029.668452479404,173229.8931024667,174256.73310387062,174147.72064818884,0.0,residential,5309.932491109308,,
28,19.033956399999973,72.776333,4112.7668738716575,5323.318698715772,172679.10908741696,173705.56634349062,173596.61728663466,0.0,residential,5508.37173150031,,
29,19.03895639999997,72.776333,4257.379530170495,5204.824224941737,172128.34278528686,173154.41476497383,173045.52951849843,0.0,park,5317.155585352908,,
30,19.04395639999997,72.776333,4399.71337385947,5078.536245344861,171577.59436928044,172603.27851636676,172494.45749584763,0.0,park,5159.679651055155,,
31,19.04895639999997,72.776333,4451.430972359263,5010.571766731382,171026.8640148271,172052.15774760852,171943.40137269502,0.0,park,5048.763053823332,,
32,19.05395639999997,72.776333,4570.116530933201,5003.308229081487,170476.1518996183,171501.0526105623,171392.36130503032,0.0,park,4985.674928406835,,
33,19.058956399999968,72.776333,4678.074479070624,5057.007290110745,169925.45820364385,170949.96325904602,170841.33745085215,0.0,park,4983.659910017742,,
34,19.063956399999967,72.776333,4707.6902495291715,5169.769708702776,169374.78310922885,170398.88984886347,170290.32997019982,0.0,park,4901.289509393237,,
35,19.068956399999966,72.776333,4796.732214800966,5337.853733680122,168824.12680107245,169847.83253783727,169739.33902518725,0.0,park,4843.049128965194,,
36,19.073956399999965,72.776333,4754.703541311577,5556.241047374832,168273.4894662858,169296.79148584104,169188.36478003624,0.0,residential,4847.739548945741,,
37,19.078956399999964,72.776333,4749.18018253941,5806.644688195041,167722.8712944322,168745.76685483335,168637.40740111098,0.0,residential,4915.180706983355,,
38,19.083956399999963,72.776333,4807.8257791917995,6060.76945093469,167172.27247756577,168194.75880889018,168086.4670569518,0.0,residential,5042.855711835644,,
39,19.08895639999996,72.776333,4723.173451491676,5872.773286690965,166621.69321027413,167643.7675142415,167535.54391831264,0.0,forest,5226.3521408448205,,
40,19.09395639999996,72.776333,4190.454645259479,5677.7921891935575,166071.13368971803,167092.7931393043,166984.6381581949,0.0,forest,5210.934686883178,,
41,19.09895639999996,72.776333,3663.9370227318946,5352.560989979764,165520.5941156775,166541.83585472225,166433.74995188828,0.0,forest,5103.354193048,,
42,19.10395639999996,72.776333,3146.7350526678033,5022.540094879208,164970.0746905902,165990.89583339737,165882.8794770036,0.0,forest,5010.492778760202,,
43,19.108956399999958,72.776333,2644.3207087637725,4734.4357625404045,164419.57561960092,165439.97325053264,165332.02691351614,0.0,scrub,4970.759430055298,,
44,19.113956399999957,72.776333,2167.0041498633973,4496.312825891806,163869.09711060382,164889.06828366747,164781.1924438023,0.0,scrub,4992.477654084221,,
45,19.118956399999956,72.776333,1733.6031486508987,4226.997076383846,163318.6393742868,164338.18111271472,164230.37625267805,0.0,scrub,4925.945463804734,,
46,19.123956399999955,72.776333,1227.165417670409,4009.4733888181463,162768.20262418536,163787.31192000743,163679.5785274462,0.0,scrub,4812.515023989804,,
47,19.128956399999954,72.776333,776.3414032621945,3859.6926285357226,162217.78707672088,163236.46089032973,163128.79945792895,0.0,scrub,4741.25581739427,,
48,19.133956399999953,72.776333,540.98519357397,3785.704188136703,161667.39295125796,162685.62821096656,162578.03923651844,0.0,scrub,4724.396973686579,,
49,19.13895639999995,72.776333,728.6762220706713,3791.947364974364,161117.02047014996,162134.81407174157,162027.29805821602,0.0,scrub,4772.140323508984,,
50,19.14395639999995,72.776333,1155.8452861401295,3878.0348072451748,160566.66985879256,161584.0186650626,161476.576120679,0.0,scrub,4882.591233802922,,
51,19.14895639999995,72.776333,1158.6029185563145,4038.864266870977,160016.34134567037,161033.2421859607,160925.8736242606,0.0,forest,5051.638284387575,,
52,19.15395639999995,72.776333,740.254412043701,4265.990804341676,159466.03516241853,160482.48483214295,160375.19077206438,0.0,forest,5273.649665177526,,
53,19.158956399999948,72.776333,584.6986974452685,4549.495996265315,158915.7515438675,159931.74680402933,159824.52776998226,0.0,forest,5188.099738285629,,
54,19.163956399999947,72.776333,589.4453668092021,4879.562923320034,158365.49072810757,159381.0283048084,159273.8848267514,0.0,forest,4770.771051784957,,
55,19.168956399999946,72.776333,653.3343967240081,4861.387488351721,157815.25295653834,158830.3295404783,158723.26215399674,0.0,forest,4383.733257512182,,
56,19.173956399999945,72.776333,1003.8018331656024,4647.543654869118,157265.03847392826,158279.65071989704,158172.65996628252,0.0,forest,4035.710885590344,,
57,19.178956399999944,72.776333,1483.436200576615,4492.1283829265985,156714.84752847324,157728.9920548322,157622.07848116357,0.0,forest,3737.6185720650215,,
58,19.183956399999943,72.776333,1432.4830981922883,4401.3356371971,156164.68037186,157178.35376001507,157071.51791924052,0.0,military,3502.229134758394,,
59,19.18895639999994,72.776333,990.2671112029182,4379.186784882806,155614.53725932186,156627.7360531866,156520.97850420765,0.0,residential,3342.8150178342057,,
60,19.19395639999994,72.776333,712.4999239729901,4426.712420197889,155064.41844970573,156077.1391551551,155970.46046291175,0.0,residential,3270.5050846786476,,
61,19.19895639999994,72.776333,701.0417903484791,4489.200273397489,154514.32420553398,155526.56328984778,155419.9640254053,0.0,residential,3281.4594884292233,,
62,19.20395639999994,72.776333,602.4392989573653,4294.897739081417,153964.25479306758,154976.00868436394,154869.48942500132,0.0,residential,3380.237382201511,,
63,19.208956399999938,72.776333,440.517292900581,4165.616472073838,153414.21048237893,154425.47556903755,154319.03689833728,0.0,residential,3563.2883429988638,,
64,19.213956399999937,72.776333,603.0019926717748,4107.500703671107,152864.19154741522,153874.96417748966,153768.60668542952,0.0,residential,3818.5120749521857,,
65,19.218956399999936,72.776333,394.2578437474881,4123.560576785445,152314.1982660661,153324.4747466858,153218.19902973177,0.0,residential,4132.558244032377,,
66,19.223956399999935,72.776333,37.93139195006994,4212.948008043564,151764.23092024075,152774.00751700142,152667.81417820283,0.0,residential,4493.109642950511,,
67,19.228956399999934,72.776333,272.1150332444204,4371.166917641519,151214.28979593673,152223.56273227977,152117.4523813659,0.0,residential,4889.890107509196,,
68,19.233956399999933,72.776333,406.77577544737045,4591.106693157829,150664.3751833118,151673.1406398921,151567.11389337052,0.0,residential,5314.791770862493,,
69,19.238956399999932,72.776333,464.6766733556738,4864.4026544155595,150114.48737676613,151122.74149080805,151016.79897206495,0.0,residential,5761.596489136914,,
70,19.24395639999993,72.776333,531.9349283892114,5182.620833006422,149564.6266750142,150572.36553965538,150466.5078790575,0.0,residential,6225.590237040937,,
71,19.24895639999993,72.776333,734.3989285705604,5538.022945001071,149014.7933811661,150022.01304478914,149916.24087978783,0.0,residential,6703.204575694361,,
72,19.25395639999993,72.776333,739.6434735320622,5923.920360252396,148464.98780280707,149471.6842683583,149365.99824359542,0.0,forest,7191.7263841437625,,
73,19.258956399999928,72.776333,655.2889550239544,6334.742497775846,147915.21025208195,148921.37947637757,148815.78024379324,0.0,forest,7689.07700121934,,
74,19.263956399999927,72.776333,812.9502993514031,6765.950731702105,147365.4610457787,148371.09893879746,148265.58715774008,0.0,forest,7860.620352955354,,
75,19.268956399999926,72.776333,1053.3889450402478,7190.087574065982,146815.74050541472,147820.84292957725,147715.4192669154,0.0,forest,8031.788770592288,,
76,18.8939564,72.78133299999999,2541.507999998091,5806.348363400631,188058.92035348018,189098.61852081202,188987.45430537307,0.0,forest,3042.5510629184528,,
77,18.8989564,72.78133299999999,2450.7003186175098,5403.586431768735,187507.57755876263,188546.9634271626,188435.85109706217,0.0,forest,2885.203157770172,,
78,18.9039564,72.78133299999999,2353.331862049973,4873.038326935129,186956.24770845476,187995.3193829878,187884.2592477377,0.0,forest,2829.090444657453,,
79,18.908956399999997,72.78133299999999,2375.580259813116,4348.242430269462,186404.93091981078,187443.68648822617,187332.67886012237,0.0,forest,2869.5547035847876,,
80,18.913956399999996,72.78133299999999,2485.197582618237,3831.5631704321772,185853.62731147662,186892.0648439973,186781.11003815325,0.0,residential,3012.826507252848,,
81,18.918956399999995,72.78133299999999,2610.229643129902,3326.7845946887132,185302.3370035073,186340.45455261614,186229.5528869966,0.0,forest,3245.436170467568,,
82,18.923956399999994,72.78133299999999,2144.698393538712,2840.2590335802643,184751.06011738902,185788.8557176117,185678.00751306713,0.0,forest,3549.8651006685573,,
83,18.928956399999993,72.78133299999999,1731.7972762180866,2383.1920104164997,184199.79677606074,185237.2684437454,185126.47402404682,0.0,forest,3909.3712239852284,,
84,18.933956399999992,72.78133299999999,1418.2635596306436,1976.1313205672868,183648.54710393323,184685.6928370266,184574.95252890114,0.0,forest,4126.026352123051,,
85,18.93895639999999,72.78133299999999,1271.8067371524642,1656.3649373215687,183097.31122691534,184134.12900473565,184023.44313790227,0.0,forest,3789.2500282385395,,
86,18.94395639999999,72.78133299999999,1213.4787441909814,1481.5378841169636,182546.0892724341,183582.57705544034,183471.94596264648,0.0,residential,3507.9468820860043,,
87,18.94895639999999,72.78133299999999,1145.5957468187435,1503.105119753231,181994.88136945743,183031.03709901503,182920.46111607365,0.0,residential,3296.349651807387,,
88,18.95395639999999,72.78133299999999,1244.6630567636898,1713.6677677338582,181443.6876485156,182479.50924665856,182368.98871248573,0.0,park,3168.4547954068653,,
89,18.958956399999987,72.78133299999999,1471.924145740122,2055.9552693283513,180892.5082417331,181927.99361092242,181817.5288675755,0.0,park,3134.524929593559,,
90,18.963956399999987,72.78133299999999,1826.8176669851207,2475.9261845244732,180341.34328284097,181376.49030571917,181266.08169843562,0.0,residential,3197.5528415275157,,
91,18.968956399999986,72.78133299999999,2024.750495597201,2591.079007520824,179790.19290721108,180824.9994463531,180714.64732358983,0.0,residential,3352.0739292904263,,
92,18.973956399999985,72.78133299999999,2125.371376224537,2749.7942350321173,179239.05725187532,180273.5211495353,180163.22586300873,0.0,park,3552.3216085011486,,
93,18.978956399999984,72.78133299999999,2278.730285933395,3003.6656921841363,178687.93645555602,179722.05553341034,179611.8174381369,0.0,park,3510.8554677677926,,
94,18.983956399999983,72.78133299999999,2509.1371660428103,3331.0072210348103,178136.8306586875,179170.60271757343,179060.4221719109,0.0,park,3366.732818263939,,
95,18.98895639999998,72.78133299999999,2757.9408893946716,3515.15471649821,177585.74000344338,178619.1628230939,178509.04018878326,0.0,residential,3293.155473833095,,
96,18.99395639999998,72.78133299999999,3052.2360656177675,3732.817339773064,177034.66463376678,178067.735972541,177957.67161474892,0.0,residential,3311.7693091406077,,
