location_id,latitude,longitude,dist_road_m,dist_hospital_m,dist_school_m,dist_police_m,dist_market_m,flood_risk,land_use_class,dist_landuse_commercial_m,population_density,elevation_m,label
0,18.8939564,72.776333,3056.4436427635524,6089.817763161723,188107.1796058102,189143.4806464466,189032.8985993914,0.0,forest,3537.854911753262,,,0
1,18.8989564,72.776333,2959.537694724961,5569.615010930461,187555.9755536992,188591.95375932413,188481.42534877104,0.0,forest,3403.4685125702795,,,0
2,18.9039564,72.776333,2879.412937686332,5056.510336218617,187004.7852654156,188040.4386759521,187929.96422194905,0.0,forest,3355.940510384966,,,0
3,18.9089564,72.776333,2899.102096121769,4552.904296427711,186453.6088654206,187488.93550287813,187378.5153283513,0.0,forest,3390.053599792948,,,0
4,18.9139564,72.776333,2996.1172933395537,4062.331170609434,185902.4464796513,186937.44434790773,186827.07877869636,0.0,residential,3512.142990586097,,,0
5,18.918956399999995,72.776333,2904.719196302849,3590.137701490848,185351.29823554,186385.96532012045,186275.65468501157,0.0,forest,3713.595052447145,,,0
6,18.923956399999994,72.776333,2494.7486680346306,3144.614598664106,184800.16426203545,185834.498529888,185724.24316065217,0.0,forest,3982.38418609526,,,0
7,18.928956399999997,72.776333,2150.141455074699,2738.8085419022677,184249.04468962844,185283.044088896,185172.8443203231,0.0,forest,4305.918726285232,,,0
14,18.963956399999987,72.776333,2220.250990796364,2819.804915177452,180391.62220894377,181423.21844696277,181313.41751861107,0.0,park,3715.190104450161,,,0
15,18.968956399999986,72.776333,2519.034111613953,3109.914235696529,179840.62273557778,180871.8669846289,180762.1244484709,0.0,residential,3848.972489922767,,,0
16,18.973956399999985,72.776333,2644.189516844273,3243.325257037658,179289.6389109686,180320.5289390916,180210.84515880796,0.0,park,4054.565514672856,,,0
17,18.978956399999984,72.776333,2776.098108447612,3461.17235623676,178738.67088234637,179769.20443629302,179659.57977897584,0.0,park,4016.702771778838,,,0
18,18.983956399999983,72.776333,2981.1523848437587,3748.764268426448,178187.71879875966,179217.8936037237,179108.32843991948,0.0,park,3882.855750874294,,,0
19,18.98895639999998,72.776333,3223.6068212897385,4016.602429473359,177636.78281109757,178666.59657044034,178557.09127419296,0.0,park,3819.2196287453457,,,0
20,18.99395639999998,72.776333,3497.9670071602445,4208.396319939534,177085.86307212984,178115.3134671014,178005.86841599623,0.0,residential,3835.266624047349,,,0
21,18.99895639999998,72.776333,3690.067472945136,4221.419739678381,176534.95973652537,177564.04442598144,177454.66000118997,0.0,industrial,3930.0208923621167,,,0
22,19.00395639999998,72.776333,3705.156080089177,4209.376650361615,175984.07296088786,177012.78958100194,176903.4661673271,0.0,industrial,4098.026586171223,,,0
23,19.008956399999978,72.776333,3784.7453747290833,4269.693351117212,175433.20290378403,176461.5490677553,176352.28705367746,0.0,industrial,4319.6676411162125,,,0
